hex_id,x,y,land,building,parking,type,floor_ratio,t_floor,room,living_room,bathroom,partition,class,area,nimby,crime,school,green,trans,medical,rich_poor_gap,income_median,urban_index,a65_a0a14_rat,district,age,mean_rent,pred_rent,diff
894ba0a4cabffff,121.56644496208357,25.05635521144437,1.0,1.0,1.0,1.0,0.538,13.0,3.0,2.0,2.0,1.0,1.0,51.954,0.0,11.0,1.0,0.0,2.0,7.0,-1.8253633363453316e-7,56.4084548,1.3448001818961128,241.366,0.15267,31.534,1572.201,1581.9372757907072,9.736275790707168
894ba0a45dbffff,121.51218352933176,25.060697098417968,4.0,1.0,1.0,1.0,0.538,13.0,2.0,2.0,2.0,1.0,0.0,30.065,3.0,6.0,2.0,1.0,7.0,11.0,2.893805892775484e-6,52.9571429,1.0450340557612128,173.985,0.52195,37.5,1665.409,1672.6265769746278,7.217576974627718
894ba0a6163ffff,121.5194099962336,25.08747998396284,1.0,1.0,1.0,1.0,0.467,15.0,1.0,2.0,1.0,1.0,1.0,41.512,1.0,6.0,0.0,1.0,4.0,8.0,2.134754419088196e-6,52.8195335,0.9819666023739572,199.065,0.65284,19.12,1650.309,1648.8889711347288,-1.420028865271206
894ba1d322bffff,121.61419381462696,25.06153610770661,1.0,1.0,1.0,1.0,0.385,13.0,2.0,2.0,2.0,1.0,1.0,49.888,0.0,1.0,0.0,0.0,0.0,0.0,-0.0000123395734295,89.30000000000001,1.1427165495169065,99.838,0.22945,7.273,1724.476,1725.4209116719353,0.9449116719351878
894ba0a58a7ffff,121.5497870191698,25.000130997505096,1.0,1.0,0.0,5.0,0.4,5.0,3.0,1.0,2.0,1.0,1.0,14.807,0.0,3.0,1.0,2.0,8.0,11.0,-6.124698580967931e-7,61.2822157,0.8766219253524274,192.201,0.80751,42.231,1452.27,1452.3082174698056,0.038217469805658766
894ba0a45d3ffff,121.51508904132766,25.062278995785064,1.0,1.0,0.0,5.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,18.885,5.0,10.0,1.0,2.0,2.0,6.0,2.4507525394658e-6,51.794752200000005,1.0450340557612128,133.98,0.52195,42.74,1855.327,1851.1922881569171,-4.134711843082869
894ba1d325bffff,121.59776402711763,25.05697899267868,1.0,1.0,1.0,2.0,0.111,9.0,3.0,2.0,2.0,1.0,1.0,75.265,0.0,2.0,0.0,1.0,5.0,2.0,-5.900798897544108e-6,72.2431487,1.1427165495169065,123.466,0.22945,12.039,1613.044,1611.5648268292791,-1.4791731707209692
894ba0a596fffff,121.5674620222149,24.9895470007274,6.0,1.0,0.0,1.0,0.333,12.0,2.0,2.0,1.0,1.0,0.0,26.378,1.0,7.0,1.0,0.0,2.0,8.0,-2.167860749439599e-6,61.628863,0.8766219253524274,180.894,0.80751,34.717,1280.642,1280.650663941804,0.00866394180388852
894ba0a40b7ffff,121.52534899372858,25.051506992919144,1.0,1.0,0.0,1.0,0.833,12.0,1.0,1.0,1.0,1.0,1.0,13.268,1.0,28.0,0.0,2.0,6.0,9.0,3.839902000625839e-7,58.3422741,1.344965233176035,263.887,0.31615,36.133,2085.247,2067.9872676308405,-17.259732369159337
894ba0a4c73ffff,121.56331197431469,25.048019995469616,1.0,1.0,0.0,5.0,1.0,4.0,3.0,2.0,2.0,1.0,1.0,31.297,0.0,3.0,0.0,0.0,4.0,4.0,8.007614464686976e-8,57.082798800000006,1.2637103126940268,237.123,0.15267,37.078,1753.813,1791.6891688552541,37.876168855254036
894ba0a4547ffff,121.5244880046344,25.054825011200663,1.0,1.0,0.0,1.0,0.833,12.0,0.0,0.0,0.0,0.0,1.0,42.661,15.0,11.0,0.0,2.0,6.0,13.0,2.0839582163117576e-6,53.2641399,1.344965233176035,278.287,0.31615,33.939,2020.19,2018.397693805969,-1.7923061940309708
894ba0a48a3ffff,121.58367203622294,25.04426100526203,1.0,1.0,0.0,5.0,0.2,5.0,4.0,2.0,2.0,1.0,1.0,29.769,0.0,23.0,0.0,3.0,6.0,23.0,2.272685306045077e-6,54.1530612,1.1410590626515846,263.317,0.22945,36.796,1735.587,1772.2565550319403,36.66955503194026
894ba56969bffff,121.50342201884064,25.133843014544738,2.0,1.0,0.0,1.0,0.462,13.0,1.0,1.0,1.0,1.0,1.0,12.357,0.0,9.0,1.0,2.0,11.0,6.0,3.167121392833113e-6,48.6023324,1.0283727376965008,231.695,0.59608,26.405,1506.251,1506.2509999999927,-7.275957614183426e-12
894ba0a59d7ffff,121.555666002238,25.002348010895005,1.0,1.0,1.0,1.0,0.962,26.0,3.0,2.0,2.0,1.0,1.0,36.911,0.0,3.0,0.0,1.0,6.0,17.0,-3.1079999230665973e-7,62.6323615,0.8766219253524274,218.488,0.80751,33.181,1459.456,1459.2333655860812,-0.2226344139187404
894ba1d32afffff,121.61693997756436,25.06895798960187,1.0,1.0,0.0,5.0,1.0,5.0,4.0,3.0,3.0,1.0,1.0,32.053,0.0,11.0,0.0,2.0,2.0,13.0,2.5867845012942605e-6,55.1635569,1.3570544322769913,97.593,0.58423,27.54,1432.647,1437.1615919444341,4.514591944434187
894ba0a4603ffff,121.49395197699494,25.034270992052868,1.0,1.0,0.0,5.0,0.6,5.0,4.0,2.0,2.0,1.0,1.0,29.86,2.0,13.0,0.0,4.0,2.0,4.0,5.134794449878938e-6,45.4944606,0.8758391766346513,327.949,1.0,43.132,1506.136,1506.1359999999988,-1.1368683772161603e-12
